,Cleaned_English_Tweets,overall_sentiment
4916,desperately big hits underperformance releases,negative
4917,om rauts earned crore early estimates sunday earned crore,neutral
4918,telugu version crossed share mark share movies telugu version,positive
4919,double digit worldwide gross day movie highly underperforming due pan india negativity fighting hard survive boxoffice,negative
4920,faced biggest disaster world especially tn tn movie pre business close crs movie break crs movie collected crs tn collection crs crs hat trick disaster,negative
4924,watched wrong making superhero movie based ramayana ignore social media trolls watch theatres,negative
4925,witness epic saga unfold book tickets starting experience grandeur world adipurushoffer starts tomorrow cinemas show,positive
4928,kattappa killed bahubali watch adipurush answer questions leave smile face,negative
4929,column epic endures retelling inspires generations constantly evolving emotional power crime totally wrong impressing gen z,neutral
4931,film epic easy make wrong bigger face pulic wrath living examplewish great nitesh tiwari ramayana full justicei firmly believe made crfilm india,positive
4932,film reasonable business nd weekend,neutral
4933,head priest slammed reviews starrer suggests changes,neutral
4936,particularly breathing issue cent lot times stuck scene letters specific kind breathing expressed voice artist,neutral
4940,president suresh shyamlal gupt indian cine workers association wrote letter prime minister honourable shri narendra modi ban movie adipurush,negative
4941,sheer arrogance creating trash film ramayan appalling boycott fuck ruining great epic watch times trash,negative
4942,apts days total share,neutral
4943,make part worst humiliated movie plays sentiments common lamfao,negative
4947,bookmyshow paytm tracking collection june india day bookmyshow paytm total crore gross india note offline ticket sales included,negative
4950,th day nunche petti vunte collections vere level vundevi neighbour family asked book tickets monday telling price watch ott,neutral
4952,bookmyshow paytm tracking collection june pm telugu day bookmyshow paytm total crore gross telugu language note offline ticket sales included,negative
4954,yesterdays nettgt crying,negative
4955,bookmyshow paytm tracking collection june india day bookmyshow paytm total crore gross india note offline ticket sales included,negative
4956,kids learning history,neutral
4959,read makers planned release parts todays audience prefer hour films hours footage film ended probably prabhas wanted film shown part,neutral
4960,wowultra mass compilation superstar hats creator,neutral
4961,days apts shares nizam ceeded ua east west guntur krishna nellore apts total share,positive
4962,days apts share including gst crores,neutral
4964,bookmyshow paytm tracking collection june pm telugu day bookmyshow paytm total crore gross telugu language note offline ticket sales included,negative
4965,mob lynching helped cast ramanand sagars mosteach actor technician connected sagars saga space feel smug righteous adipurushs expense,neutral
